patient_ssn,patient_firstName,patient_lastName,patient_country,patient_address1,patient_address2,patient_number1,patient_number2,patient_sex,patient_DOB,patient_DOD,patient_email,patient_height,patient_weight,patient_bloodType,patient_educationBackground,patient_employmentStatus,patient_occupation,hospital_id,hospital_name,hospital_address,hospital_number,hospital_email,practitioner_id,practitioner_firstName,practitioner_lastName,practitioner_address1,practitioner_address2,practitioner_number1,practitioner_number2,practitioner_checkIn,practitioner_checkOut,nurse_id,nurse_firstName,nurse_lastName,nurse_address1,nurse_address2,nurse_number1,nurse_checkIn,nurse_checkOut,observation_id,observation_date,observation_time,observation_remark,observation_medication_id,observation_medication_remark
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nur_855,,,,,,11:20:00 AM,,obs_789,,2:20:00 PM,remark18,med_4,med_1_remark4
,,,,1912 Tully Street,"Detroit, Michigan(MI), 48219",313-589-2018,586-362-3630,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,obs_790,,,remark19,med_5,med_1_remark5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12:20:00 PM,,,,,,,,,obs_791,,,remark20,med_6,med_1_remark6
,,,,,,,,,,,,,95.2 pounds,,,,,,,,,,,,,,,,,,,,,,,,,5:45:00 AM,7:20:00 PM,obs_792,12/3/2018,2:20:00 PM,remark21,med_7,med_1_remark7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,obs_793,,,remark22,med_8,med_1_remark8
,,,,,,,,,,,,,,,,,,hos_54,hop54name,hop54add,54948648-481,hop54name@yopmail.com,,,,,,,,,,,,,,,,,,obs_794,,,remark23,med_9,med_1_remark9
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1:20:00 AM,,,,,,,,,,obs_795,,,remark24,med_10,med_1_remark10
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nur_256,,,,,,,,obs_796,,,remark25,med_11,med_1_remark11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10:40:00 PM,,,,,,,,,obs_899,,,remark26,med_12,med_1_remark12
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9:15:00 AM,8:20:00 PM,obs_900,12/3/2020,2:20:00 PM,remark27,med_13,med_1_remark13
,,,,,,,,,,,,,,,,,,,,,,,pract_545_34,George ,Pierce,2725 Limer Street,"Copperhill, Georgia(GA), 37317",706-492-5014,404-205-7540,2:30:00 AM,8:45:00 PM,,,,,,,,,obs_901,,,remark28,med_14,med_1_remark14
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,obs_902,,,remark29,med_1,med_1_remark1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8:30:00 PM,nur_954,,,,,,3:20:00 AM,,obs_903,,3:20:00 AM,remark30,med_2,med_1_remark2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3:20:00 AM,,,,,,,,,,obs_904,12/3/2024,,remark31,med_3,med_1_remark3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nur_879,,,,,,,,obs_905,,,remark32,med_4,med_1_remark4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4:30:00 AM,4:20:00 PM,obs_906,,4:50:00 AM,remark33,med_5,med_1_remark5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,obs_907,,4:15:00 AM,remark34,med_6,med_1_remark6
